week,season_year,month,drive_id,uarter,time,pos_team,def_team,home,pos_division,def_division,yardline,down,yards_to_go,play_type,play_direction,yards,game_time
4,2014,9,2,1,4488,SD,JAX,1,AFC-WEST,AFC-SOUTH,76,1,10,0,center,1,Regular
4,2014,9,2,1,4452,SD,JAX,1,AFC-WEST,AFC-SOUTH,78,2,9,1,Sack,-8,Regular
4,2014,9,2,1,4425,SD,JAX,1,AFC-WEST,AFC-SOUTH,69,3,17,1,short left,-6,Regular
4,2014,9,3,1,4384,JAX,SD,0,AFC-SOUTH,AFC-WEST,50,1,10,1,short right,12,Regular
4,2014,9,3,1,4355,JAX,SD,0,AFC-SOUTH,AFC-WEST,14,1,10,0,left tackle,3,Regular
4,2014,9,3,1,4328,JAX,SD,0,AFC-SOUTH,AFC-WEST,17,2,7,0,left tackle,-1,Regular
4,2014,9,3,1,4295,JAX,SD,0,AFC-SOUTH,AFC-WEST,16,3,8,1,short right,9,Regular
4,2014,9,3,1,4256,JAX,SD,0,AFC-SOUTH,AFC-WEST,26,1,10,0,center,4,Regular
4,2014,9,3,1,4217,JAX,SD,0,AFC-SOUTH,AFC-WEST,30,2,6,1,short left,5,Regular
4,2014,9,3,1,4190,JAX,SD,0,AFC-SOUTH,AFC-WEST,36,3,1,0,center,1,Regular
4,2014,9,3,1,4160,JAX,SD,0,AFC-SOUTH,AFC-WEST,37,1,10,0,center,-5,Regular
4,2014,9,3,1,4115,JAX,SD,0,AFC-SOUTH,AFC-WEST,31,2,15,1,short left,1,Regular
4,2014,9,3,1,4070,JAX,SD,0,AFC-SOUTH,AFC-WEST,32,3,14,1,short left,13,Regular
4,2014,9,3,1,4025,JAX,SD,0,AFC-SOUTH,AFC-WEST,56,4,1,0,center,0,Regular
4,2014,9,4,1,4012,SD,JAX,1,AFC-WEST,AFC-SOUTH,44,1,10,1,deep left,16,Regular
4,2014,9,4,1,3980,SD,JAX,1,AFC-WEST,AFC-SOUTH,71,1,10,0,center,2,Regular
4,2014,9,4,1,3949,SD,JAX,1,AFC-WEST,AFC-SOUTH,73,2,8,1,deep right,16,Regular
