week,season_year,month,drive_id,uarter,time,pos_team,def_team,home,pos_division,def_division,yardline,down,yards_to_go,play_type,play_direction,yards,game_time
10,2015,11,15,3,1823,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,13,1,10,0,left tackle,0,Regular
10,2015,11,15,4,1800,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,13,2,10,0,center,2,Regular
10,2015,11,16,4,1702,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,62,1,10,1,short left,-2,Regular
10,2015,11,16,4,1670,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,60,2,12,1,short left,11,Regular
10,2015,11,16,4,1631,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,72,3,1,1,short left,16,Regular
10,2015,11,16,4,1588,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,90,1,10,0,left tackle,13,Regular
10,2015,11,16,4,1549,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,55,1,5,0,left tackle,4,Regular
10,2015,11,16,4,1514,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,99,2,1,0,center,0,Regular
10,2015,11,16,4,1495,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,99,3,1,0,right tackle,0,Regular
10,2015,11,17,4,1442,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,9,1,10,1,Sack,-7,Regular
10,2015,11,17,4,1403,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,2,2,17,1,short right,0,Regular
10,2015,11,17,4,1396,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,2,3,17,1,short right,10,Regular
10,2015,11,18,4,1346,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,30,1,10,1,short left,18,Regular
10,2015,11,18,4,1305,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,59,1,10,0,center,3,Regular
10,2015,11,18,4,1261,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,62,2,7,0,left tackle,6,Regular
10,2015,11,18,4,1220,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,69,3,1,0,center,2,Regular
10,2015,11,18,4,1176,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,71,1,10,0,left guard,4,Regular
10,2015,11,18,4,1132,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,75,2,6,0,left tackle,7,Regular
10,2015,11,18,4,1087,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,83,1,10,0,right tackle,17,Regular
10,2015,11,18,4,1079,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,52,1,7,0,left guard,6,Regular
10,2015,11,18,4,1073,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,99,2,1,0,right guard,-1,Regular
10,2015,11,18,4,1068,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,88,3,2,0,right guard,2,Regular
10,2015,11,19,4,1057,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,5,1,10,1,short right,1,Regular
10,2015,11,19,4,1031,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,6,2,9,1,deep left,24,Regular
10,2015,11,19,4,1020,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,32,1,10,1,short right,5,Regular
10,2015,11,19,4,994,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,38,2,5,1,deep right,0,Regular
10,2015,11,19,4,988,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,38,3,5,1,short middle,19,Regular
10,2015,11,1,1,4500,STL,CHI,1,NFC-WEST,NFC-NORTH,13,1,10,1,short right,29,Regular
10,2015,11,1,1,4466,STL,CHI,1,NFC-WEST,NFC-NORTH,44,1,10,1,deep middle,0,Regular
10,2015,11,1,1,4459,STL,CHI,1,NFC-WEST,NFC-NORTH,44,2,10,1,short middle,31,Regular
10,2015,11,1,1,4418,STL,CHI,1,NFC-WEST,NFC-NORTH,87,1,10,0,left tackle,8,Regular
10,2015,11,1,1,4372,STL,CHI,1,NFC-WEST,NFC-NORTH,96,2,2,0,left guard,6,Regular
10,2015,11,1,1,4330,STL,CHI,1,NFC-WEST,NFC-NORTH,53,1,6,1,short right,0,Regular
10,2015,11,1,1,4324,STL,CHI,1,NFC-WEST,NFC-NORTH,53,2,6,0,right guard,6,Regular
10,2015,11,2,1,4317,CHI,STL,0,NFC-NORTH,NFC-WEST,6,1,10,0,right tackle,-1,Regular
